Listing ID,Listing name,Final URL,Image URL,Price,City name,Property type,Listing type,Address,Description,Contextual keywords
1183045421,4BR Single Family Home,https://bradschmett.com/listing-detail/1183045421/83816-Charro-DR-Indio-CA,https://wsrv.nl/?url=https%3A%2F%2Fcdn.photos.sparkplatform.com%2Fgps%2F20260528201229593220000000-o.jpg&w=1200&output=jpg&q=80,"$669,900",Indio,Single Family Home,For Sale,"83816 Charro DR, Indio, CA 92203, CA",Welcome to 83816 Charro .,Haciendas; 2765 sqft
1183043626,2BR Manufactured Home,https://bradschmett.com/listing-detail/1183043626/49305-Highway-74-70-Palm-Desert-CA,https://wsrv.nl/?url=https%3A%2F%2Fcdn.photos.sparkplatform.com%2Fgps%2F20260528201930765944000000-o.jpg&w=1200&output=jpg&q=80,"$249,900",Palm Desert,Manufactured Home,For Sale,"49305 Highway 74 #70, Palm Desert, CA 92260, CA",Views /Views/Views/ One o,Indian Springs Mobiles; 1440 sqft
1183041776,5BR Single Family Home,https://bradschmett.com/listing-detail/1183041776/43560-Arabia-ST-Indio-CA,https://wsrv.nl/?url=https%3A%2F%2Fcdn.photos.sparkplatform.com%2Fgps%2F20260528211035266819000000-o.jpg&w=1200&output=jpg&q=80,"$699,900",Indio,Single Family Home,For Sale,"43560 Arabia ST, Indio, CA 92201, CA",Ultimate Indio House-Hack,North Indio Ranchos; 1882 sqft
1183041777,3BR Single Family Home,https://bradschmett.com/listing-detail/1183041777/80738-Indian-Springs-DR-Indio-CA,https://wsrv.nl/?url=https%3A%2F%2Fcdn.photos.sparkplatform.com%2Fgps%2F20260528200859571436000000-o.jpg&w=1200&output=jpg&q=80,"$884,000",Indio,Single Family Home,For Sale,"80738 Indian Springs DR, Indio, CA 92201, CA",A Golfer's Dream Without ,Indian Springs; 2719 sqft
1183041774,2BR Manufactured Home,https://bradschmett.com/listing-detail/1183041774/74448-Nevada-CIR-E-Palm-Desert-CA,https://wsrv.nl/?url=https%3A%2F%2Fcdn.photos.sparkplatform.com%2Fgps%2F20260528202436435998000000-o.jpg&w=1200&output=jpg&q=80,"$349,000",Palm Desert,Manufactured Home,For Sale,"74448 Nevada CIR E, Palm Desert, CA 92260, CA",Golf Course Gem in Portol,Portola Country Club; 1606 sqft
1183040153,3BR Single Family Home,https://bradschmett.com/listing-detail/1183040153/49070-Balada-CT-La-Quinta-CA,https://wsrv.nl/?url=https%3A%2F%2Fcdn.photos.sparkplatform.com%2Fgps%2F20260528182522712933000000-o.jpg&w=1200&output=jpg&q=80,"$599,000",La Quinta,Single Family Home,For Sale,"49070 Balada CT, La Quinta, CA 92253, CA",Nestled on a cul-de-sac l,Parc La Quinta; 1804 sqft
1183040155,2BR Single Family Home,https://bradschmett.com/listing-detail/1183040155/78472-Calle-Huerta-La-Quinta-CA,https://wsrv.nl/?url=https%3A%2F%2Fcdn.photos.sparkplatform.com%2Fgps%2F20260528033910662555000000-o.jpg&w=1200&output=jpg&q=80,"$599,000",La Quinta,Single Family Home,For Sale,"78472 Calle Huerta, La Quinta, CA 92253, CA",Beautifully remodeled La ,Lqcc Montero Estates; 1936 sqft
1183038326,2BR Manufactured Home,https://bradschmett.com/listing-detail/1183038326/306-Logenita-ST-Palm-Springs-CA,https://wsrv.nl/?url=https%3A%2F%2Fcdn.photos.sparkplatform.com%2Fgps%2F20260528193140906215000000-o.jpg&w=1200&output=jpg&q=80,"$125,000",Palm Springs,Manufactured Home,For Sale,"306 Logenita ST, Palm Springs, CA 92264, CA",Charming 1-Bedroom Home w,Ramon Mobile Park; 911 sqft
1183036796,2BR Condo in Palm Springs,https://bradschmett.com/listing-detail/1183036796/2995-Sundance-CIR-E-Palm-Springs-CA,https://wsrv.nl/?url=https%3A%2F%2Fcdn.photos.sparkplatform.com%2Fgps%2F20260527223730327728000000-o.jpg&w=1200&output=jpg&q=80,"$795,000",Palm Springs,Condo,For Sale,"2995 Sundance CIR E, Palm Springs, CA 92262, CA",Welcome to your ultimate ,Sundance Resort; 1855 sqft
1183035170,3BR Single Family Home,https://bradschmett.com/listing-detail/1183035170/40596-Corte-Los-Cerritos-Indio-CA,https://wsrv.nl/?url=https%3A%2F%2Fcdn.photos.sparkplatform.com%2Fgps%2F20260528181503751216000000-o.jpg&w=1200&output=jpg&q=80,"$570,000",Indio,Single Family Home,For Sale,"40596 Corte Los Cerritos, Indio, CA 92203, CA",The home is a San Rafael ,Sun City Shadow Hills; 2376 sqft
1183035169,3BR Single Family Home,https://bradschmett.com/listing-detail/1183035169/53420-Avenida-Juarez-La-Quinta-CA,https://wsrv.nl/?url=https%3A%2F%2Fcdn.photos.sparkplatform.com%2Fgps%2F20260517164546387994000000-o.jpg&w=1200&output=jpg&q=80,"$600,000",La Quinta,Single Family Home,For Sale,"53420 Avenida Juarez, La Quinta, CA 92253, CA",Located in the highly des,La Quinta Cove; 1529 sqft
1183031227,3BR Manufactured Home,https://bradschmett.com/listing-detail/1183031227/18131-Langlois-RD-F-18-Desert-Hot-Springs-CA,https://wsrv.nl/?url=https%3A%2F%2Fcdn.photos.sparkplatform.com%2Fgps%2F20260528181251407421000000-o.jpg&w=1200&output=jpg&q=80,"$79,000",Desert Hot Springs,Manufactured Home,For Sale,"18131 Langlois RD #F 18, Desert Hot Springs, CA 92241, CA",Healing Waters MHP Desert,1675 sqft
1183031228,3BR Single Family Home,https://bradschmett.com/listing-detail/1183031228/1925-S-Joshua-Tree-PL-Palm-Springs-CA,https://wsrv.nl/?url=https%3A%2F%2Fcdn.photos.sparkplatform.com%2Fgps%2F20260528165731573691000000-o.jpg&w=1200&output=jpg&q=80,"$2,249,000",Palm Springs,Single Family Home,For Sale,"1925 S Joshua Tree PL, Palm Springs, CA 92264, CA",Located on a quiet cul de,Twin Palms; 3028 sqft
1183031226,2BR Manufactured Home,https://bradschmett.com/listing-detail/1183031226/32121-Oakland-Hills-ST-Thousand-Palms-CA,https://wsrv.nl/?url=https%3A%2F%2Fcdn.photos.sparkplatform.com%2Fgps%2F20260528043241299435000000-o.jpg&w=1200&output=jpg&q=80,"$159,900",Thousand Palms,Manufactured Home,For Sale,"32121 Oakland Hills ST, Thousand Palms, CA 92276, CA",Own the Land & Live the R,Tri-Palm Estates; 960 sqft
1183064469,3BR Single Family Home,https://bradschmett.com/listing-detail/1183064469/10468-Santa-Cruz-Desert-Hot-Springs-CA,https://tamdrashtri.github.io/brad-schmett-remarketing/images/1183064469.jpg,"$329,000",Desert Hot Springs,Single Family Home,For Sale,"10468 Santa Cruz, Desert Hot Springs, CA 92240, CA",Location. Views. This is ,Not In Subdivision; 1219 sqft
1183064497,5BR Single Family Home,https://bradschmett.com/listing-detail/1183064497/82797-Sutton-DR-Indio-CA,https://tamdrashtri.github.io/brad-schmett-remarketing/images/1183064497.jpg,"$725,000",Indio,Single Family Home,For Sale,"82797 Sutton DR, Indio, CA 92203, CA","Welcome to Generations, o",Generations; 2901 sqft
1183024995,3BR Single Family Home,https://bradschmett.com/listing-detail/1183024995/7-Tulane-CT-Rancho-Mirage-CA,https://wsrv.nl/?url=https%3A%2F%2Fcdn.photos.sparkplatform.com%2Fgps%2F20260526220449670721000000-o.jpg&w=1200&output=jpg&q=80,"$1,599,000",Rancho Mirage,Single Family Home,For Sale,"7 Tulane CT, Rancho Mirage, CA 92270, CA","Reintroduced at $1,599,00",The Springs Country Club; 3217 sqft
1183023395,2BR Single Family Home,https://bradschmett.com/listing-detail/1183023395/44392-Royal-Lytham-DR-Indio-CA,https://wsrv.nl/?url=https%3A%2F%2Fcdn.photos.sparkplatform.com%2Fgps%2F20260528163646246219000000-o.jpg&w=1200&output=jpg&q=80,"$374,995",Indio,Single Family Home,For Sale,"44392 Royal Lytham DR, Indio, CA 92201, CA",Welcome to Heritage Palms,Heritage Palms Country Club; 1382 sqft
1183020365,4BR Single Family Home,https://bradschmett.com/listing-detail/1183020365/84369-Falco-CT-Indio-CA,https://wsrv.nl/?url=https%3A%2F%2Fcdn.photos.sparkplatform.com%2Fgps%2F20260527164354363096000000-o.jpg&w=1200&output=jpg&q=80,"$755,000",Indio,Single Family Home,For Sale,"84369 Falco CT, Indio, CA 92203, CA",Welcome to this beautiful,Aliante; 3090 sqft
1183059423,4BR Single Family Home,https://bradschmett.com/listing-detail/1183059423/38127-E-Maracaibo-CIR-Palm-Springs-CA,https://tamdrashtri.github.io/brad-schmett-remarketing/images/1183059423.jpg,"$2,250,000",Palm Springs,Single Family Home,For Sale,"38127 E Maracaibo CIR, Palm Springs, CA 92264, CA",Completely reimagined wit,Parc Andreas; 3432 sqft
1183058634,4BR Single Family Home,https://bradschmett.com/listing-detail/1183058634/78500-Via-Palomino-La-Quinta-CA,https://tamdrashtri.github.io/brad-schmett-remarketing/images/1183058634.jpg,"$699,000",La Quinta,Single Family Home,For Sale,"78500 Via Palomino, La Quinta, CA 92253, CA",,Laq Del Oro; 2645 sqft
1183057607,3BR Manufactured Home,https://bradschmett.com/listing-detail/1183057607/305-Kona-LN-Palm-Springs-CA,https://tamdrashtri.github.io/brad-schmett-remarketing/images/1183057607.jpg,"$224,000",Palm Springs,Manufactured Home,For Sale,"305 Kona LN, Palm Springs, CA 92264, CA",Welcome to 305 Kona. Pric,Palm Canyon Mobile Club; 1512 sqft
1183011802,3BR Single Family Home,https://bradschmett.com/listing-detail/1183011802/76321-Oxford-LN-Palm-Desert-CA,https://wsrv.nl/?url=https%3A%2F%2Fcdn.photos.sparkplatform.com%2Fgps%2F20260527200420210012000000-o.jpg&w=1200&output=jpg&q=80,"$550,000",Palm Desert,Single Family Home,For Sale,"76321 Oxford LN, Palm Desert, CA 92211, CA",Welcome to effortless des,University Park; 1551 sqft
1183053829,2BR Single Family Home,https://bradschmett.com/listing-detail/1183053829/68150-Calle-Blanco-Desert-Hot-Springs-CA,https://tamdrashtri.github.io/brad-schmett-remarketing/images/1183053829.jpg,"$279,000",Desert Hot Springs,Single Family Home,For Sale,"68150 Calle Blanco, Desert Hot Springs, CA 92240, CA",Good opportunity for the ,1118 sqft
1183053834,2BR Single Family Home,https://bradschmett.com/listing-detail/1183053834/64903-Oakmount-AVE-Desert-Hot-Springs-CA,https://tamdrashtri.github.io/brad-schmett-remarketing/images/1183053834.jpg,"$314,500",Desert Hot Springs,Single Family Home,For Sale,"64903 Oakmount AVE, Desert Hot Springs, CA 92240, CA",Mission Lakes Country Clu,Mission Lakes (34101); 1214 sqft
1183003475,3BR Single Family Home,https://bradschmett.com/listing-detail/1183003475/2027-S-Toledo-AVE-Palm-Springs-CA,https://wsrv.nl/?url=https%3A%2F%2Fcdn.photos.sparkplatform.com%2Fgps%2F20260528010206261718000000-o.jpg&w=1200&output=jpg&q=80,"$1,698,000",Palm Springs,Single Family Home,For Sale,"2027 S Toledo AVE, Palm Springs, CA 92264, CA",We're Back!! Live the Pal,Indian Canyons; 2665 sqft
1183003476,3BR Single Family Home,https://bradschmett.com/listing-detail/1183003476/71121-Sunny-LN-Rancho-Mirage-CA,https://wsrv.nl/?url=https%3A%2F%2Fcdn.photos.sparkplatform.com%2Fgps%2F20260527234430668557000000-o.jpg&w=1200&output=jpg&q=80,"$1,795,000",Rancho Mirage,Single Family Home,For Sale,"71121 Sunny LN, Rancho Mirage, CA 92270, CA",Welcome to elevated deser,Tamarisk View Estates; 3088 sqft
1183049861,2BR Condo in Indio,https://bradschmett.com/listing-detail/1183049861/49086-Eisenhower-DR-Indio-CA,https://tamdrashtri.github.io/brad-schmett-remarketing/images/1183049861.jpg,"$205,000",Indio,Condo,For Sale,"49086 Eisenhower DR, Indio, CA 92201, CA",Resort-style living in In,Indian Palms (31432); 1168 sqft
1183002324,3BR Single Family Home,https://bradschmett.com/listing-detail/1183002324/75451-Santa-Fe-TRL-Palm-Desert-CA,https://wsrv.nl/?url=https%3A%2F%2Fcdn.photos.sparkplatform.com%2Fgps%2F20260528132700972031000000-o.jpg&w=1200&output=jpg&q=80,"$548,900",Palm Desert,Single Family Home,For Sale,"75451 Santa Fe TRL, Palm Desert, CA 92211, CA",Palm Desert Single Family,1674 sqft
1183046671,4BR Single Family Home,https://bradschmett.com/listing-detail/1183046671/65866-Estrella-Desert-Hot-Springs-CA,https://tamdrashtri.github.io/brad-schmett-remarketing/images/1183046671.jpg,"$499,900",Desert Hot Springs,Single Family Home,For Sale,"65866 Estrella, Desert Hot Springs, CA 92240, CA",Discover this beautifully,Desert View Estates (34004); 1929 sqft
1183043438,3BR Single Family Home,https://bradschmett.com/listing-detail/1183043438/74849-Trousdale-DR-Palm-Desert-CA,https://tamdrashtri.github.io/brad-schmett-remarketing/images/1183043438.jpg,"$712,900",Palm Desert,Single Family Home,For Sale,"74849 Trousdale DR, Palm Desert, CA 92211, CA","Brand new, energy-efficie",Altair At University Park; 1898 sqft
1183036413,3BR Single Family Home,https://bradschmett.com/listing-detail/1183036413/45342-Big-Canyon-Indio-CA,https://tamdrashtri.github.io/brad-schmett-remarketing/images/1183036413.jpg,"$570,000",Indio,Single Family Home,For Sale,"45342 Big Canyon, Indio, CA 92201, CA","Newly Bathroom Remodeled,",Desert Resort Managment; 1898 sqft
1183065069,3BR Condo in Indian Wells,https://bradschmett.com/listing-detail/1183065069/45860-Algonquin-CIR-Indian-Wells-CA,https://tamdrashtri.github.io/brad-schmett-remarketing/images/1183065069.jpg,"$799,000",Indian Wells,Condo,For Sale,"45860 Algonquin CIR, Indian Wells, CA 92210, CA",Nestled behind the privat,Dorado Villas Hoa; 2399 sqft
1183018479,2BR Condo in Palm Desert,https://bradschmett.com/listing-detail/1183018479/128-Desert-Falls-DR-E-Palm-Desert-CA,https://tamdrashtri.github.io/brad-schmett-remarketing/images/1183018479.jpg,"$420,000",Palm Desert,Condo,For Sale,"128 Desert Falls DR E, Palm Desert, CA 92211, CA",Ideally situated with eas,Desert Falls C.C. (32405); 1330 sqft
1183018444,3BR Single Family Home,https://bradschmett.com/listing-detail/1183018444/52121-Avenida-Velasco-La-Quinta-CA,https://tamdrashtri.github.io/brad-schmett-remarketing/images/1183018444.jpg,"$459,000",La Quinta,Single Family Home,For Sale,"52121 Avenida Velasco, La Quinta, CA 92253, CA",Located in the stunning L,1230 sqft
1183016840,Vacant Land,https://bradschmett.com/listing-detail/1183016840/185-San-Rafael-RD-W-Palm-Springs-CA,https://tamdrashtri.github.io/brad-schmett-remarketing/images/1183016840.jpg,"$395,000",Palm Springs,Vacant Land,For Sale,"185 San Rafael RD W, Palm Springs, CA 92262, CA",Great development opportu,Park San Rafael (33117)
1183010046,4BR Single Family Home,https://bradschmett.com/listing-detail/1183010046/77310-Coyote-Creek-Indian-Wells-CA,https://tamdrashtri.github.io/brad-schmett-remarketing/images/1183010046.jpg,"$2,460,000",Indian Wells,Single Family Home,For Sale,"77310 Coyote Creek, Indian Wells, CA 92210, CA","Every once in a while, a ",Indian Wells C.C. (32509); 3861 sqft
1182993283,3BR Single Family Home,https://bradschmett.com/listing-detail/1182993283/71836-San-Gorgonio-RD-Rancho-Mirage-CA,https://wsrv.nl/?url=https%3A%2F%2Fcdn.photos.sparkplatform.com%2Fgps%2F20260524162503575575000000-o.jpg&w=1200&output=jpg&q=80,"$1,068,000",Rancho Mirage,Single Family Home,For Sale,"71836 San Gorgonio RD, Rancho Mirage, CA 92270, CA","*****Location, Views, And",Magnesia Falls Cove; 1758 sqft
1182993284,2BR Condo in Palm Desert,https://bradschmett.com/listing-detail/1182993284/76651-Begonia-LN-Palm-Desert-CA,https://wsrv.nl/?url=https%3A%2F%2Fcdn.photos.sparkplatform.com%2Fgps%2F20260513135305970700000000-o.jpg&w=1200&output=jpg&q=80,"$449,999",Palm Desert,Condo,For Sale,"76651 Begonia LN, Palm Desert, CA 92211, CA",Beautifully updated and t,Palm Valley Country Club; 1330 sqft
1183005997,2BR Single Family Home,https://bradschmett.com/listing-detail/1183005997/12880-Acacia-AVE-Desert-Hot-Springs-CA,https://tamdrashtri.github.io/brad-schmett-remarketing/images/1183005997.jpg,"$295,000",Desert Hot Springs,Single Family Home,For Sale,"12880 Acacia AVE, Desert Hot Springs, CA 92240, CA","Single-story 2-bedroom, 2",1198 sqft
1183005983,2BR Condo in Palm Springs,https://bradschmett.com/listing-detail/1183005983/2601-S-Broadmoor-DR-11-Palm-Springs-CA,https://tamdrashtri.github.io/brad-schmett-remarketing/images/1183005983.jpg,"$400,000",Palm Springs,Condo,For Sale,"2601 S Broadmoor DR #11, Palm Springs, CA 92264, CA",Welcome to a prime Palm S,Sommerset Springs (33526); 1130 sqft
1182990170,Vacant Land,https://bradschmett.com/listing-detail/1182990170/13150-Kay-RD-Desert-Hot-Springs-CA,https://wsrv.nl/?url=https%3A%2F%2Fcdn.photos.sparkplatform.com%2Fgps%2F20260528042022077559000000-o.jpg&w=1200&output=jpg&q=80,"$65,000",Desert Hot Springs,Vacant Land,For Sale,"13150 Kay RD, Desert Hot Springs, CA 92240, CA",Gorgeous residential lot ,
1182987889,3BR Single Family Home,https://bradschmett.com/listing-detail/1182987889/72645-Skyward-WAY-Palm-Desert-CA,https://wsrv.nl/?url=https%3A%2F%2Fcdn.photos.sparkplatform.com%2Fgps%2F20260528024025815639000000-o.jpg&w=1200&output=jpg&q=80,"$1,500,000",Palm Desert,Single Family Home,For Sale,"72645 Skyward WAY, Palm Desert, CA 92260, CA","This stunning 3-bedroom, ",2575 sqft
1182987283,3BR Single Family Home,https://bradschmett.com/listing-detail/1182987283/45506-Deep-Canyon-RD-Palm-Desert-CA,https://wsrv.nl/?url=https%3A%2F%2Fcdn.photos.sparkplatform.com%2Fgps%2F20260528030510849502000000-o.jpg&w=1200&output=jpg&q=80,"$849,000",Palm Desert,Single Family Home,For Sale,"45506 Deep Canyon RD, Palm Desert, CA 92260, CA",Located in the heart of d,1440 sqft
1182985796,Vacant Land,https://bradschmett.com/listing-detail/1182985796/0-Quinta-WAY-Desert-Hot-Springs-CA,https://wsrv.nl/?url=https%3A%2F%2Fcdn.photos.sparkplatform.com%2Fgps%2F20260528005642781887000000-o.jpg&w=1200&output=jpg&q=80,"$50,000",Desert Hot Springs,Vacant Land,For Sale,"0 Quinta WAY, Desert Hot Springs, CA 92240, CA",Great location at a great,
1182983990,2BR Condo in Palm Springs,https://bradschmett.com/listing-detail/1182983990/318-Huddle-Springs-WAY-Palm-Springs-CA,https://wsrv.nl/?url=https%3A%2F%2Fcdn.photos.sparkplatform.com%2Fgps%2F20260528004005361323000000-o.jpg&w=1200&output=jpg&q=80,"$945,000",Palm Springs,Condo,For Sale,"318 Huddle Springs WAY, Palm Springs, CA 92264, CA",Welcome to 318 Huddle Spr,Cody Place; 2237 sqft
1182983364,3BR Single Family Home,https://bradschmett.com/listing-detail/1182983364/35906-Bertain-DR-Palm-Desert-CA,https://wsrv.nl/?url=https%3A%2F%2Fcdn.photos.sparkplatform.com%2Fgps%2F20250507213611928772000000-o.jpg&w=1200&output=jpg&q=80,"$615,000",Palm Desert,Single Family Home,For Sale,"35906 Bertain DR, Palm Desert, CA 92211, CA",Welcome to University Par,University Park; 1992 sqft
1182981282,4BR Single Family Home,https://bradschmett.com/listing-detail/1182981282/74361-Erin-ST-Palm-Desert-CA,https://wsrv.nl/?url=https%3A%2F%2Fcdn.photos.sparkplatform.com%2Fgps%2F20260528000155326589000000-o.jpg&w=1200&output=jpg&q=80,"$589,000",Palm Desert,Single Family Home,For Sale,"74361 Erin ST, Palm Desert, CA 92260, CA",Situated in the heart of ,1300 sqft
1182980624,2BR Condo in Palm Desert,https://bradschmett.com/listing-detail/1182980624/203-Desert-Falls-DR-E-Palm-Desert-CA,https://wsrv.nl/?url=https%3A%2F%2Fcdn.photos.sparkplatform.com%2Fgps%2F20260527232356311635000000-o.jpg&w=1200&output=jpg&q=80,"$350,000",Palm Desert,Condo,For Sale,"203 Desert Falls DR E, Palm Desert, CA 92211, CA",Single Story unit!!!! Wel,Desert Falls Country Club; 1330 sqft
1182978834,3BR Single Family Home,https://bradschmett.com/listing-detail/1182978834/4251-Amber-LN-Palm-Springs-CA,https://wsrv.nl/?url=https%3A%2F%2Fcdn.photos.sparkplatform.com%2Fgps%2F20260527230036127537000000-o.jpg&w=1200&output=jpg&q=80,"$1,050,000",Palm Springs,Single Family Home,For Sale,"4251 Amber LN, Palm Springs, CA 92262, CA",Step inside this turnkey ,Escena; 1976 sqft
1182974926,4BR Multi-Family,https://bradschmett.com/listing-detail/1182974926/1372-E-Camino-Primrose-Palm-Springs-CA,https://wsrv.nl/?url=https%3A%2F%2Fcdn.photos.sparkplatform.com%2Fgps%2F20260527221041333504000000-o.jpg&w=1200&output=jpg&q=80,"$850,000",Palm Springs,Multi-Family,For Sale,"1372 E Camino Primrose, Palm Springs, CA 92264, CA",Exceptional duplex opport,Warm Sands; 1723 sqft
1182970789,2BR Single Family Home,https://bradschmett.com/listing-detail/1182970789/51643-Rolling-Green-CT-Indio-CA,https://wsrv.nl/?url=https%3A%2F%2Fcdn.photos.sparkplatform.com%2Fgps%2F20260526145857473745000000-o.jpg&w=1200&output=jpg&q=80,"$569,000",Indio,Single Family Home,For Sale,"51643 Rolling Green CT, Indio, CA 92201, CA",Showcasing 1583 sq ft of ,Trilogy Polo Club; 1583 sqft
1182970791,4BR Single Family Home,https://bradschmett.com/listing-detail/1182970791/76240-Via-Volterra-Indian-Wells-CA,https://wsrv.nl/?url=https%3A%2F%2Fcdn.photos.sparkplatform.com%2Fgps%2F20260526165724991353000000-o.jpg&w=1200&output=jpg&q=80,"$3,195,000",Indian Wells,Single Family Home,For Sale,"76240 Via Volterra, Indian Wells, CA 92210, CA",Introducing the Amalfi Co,Toscana Country Club; 3724 sqft
1182969472,4BR Single Family Home,https://bradschmett.com/listing-detail/1182969472/37354-Turnberry-Isle-DR-Palm-Desert-CA,https://wsrv.nl/?url=https%3A%2F%2Fcdn.photos.sparkplatform.com%2Fgps%2F20260527160938295282000000-o.jpg&w=1200&output=jpg&q=80,"$649,000",Palm Desert,Single Family Home,For Sale,"37354 Turnberry Isle DR, Palm Desert, CA 92211, CA",Sun City Palm Desert - Mo,Sun City; 2034 sqft
1182966688,4BR Single Family Home,https://bradschmett.com/listing-detail/1182966688/58460-Aracena-La-Quinta-CA,https://wsrv.nl/?url=https%3A%2F%2Fcdn.photos.sparkplatform.com%2Fgps%2F20250904174048339844000000-o.jpg&w=1200&output=jpg&q=80,"$2,200,000",La Quinta,Single Family Home,For Sale,"58460 Aracena, La Quinta, CA 92253, CA",Positioned along the 2nd ,Andalusia At Cm; 3177 sqft
1182965063,2BR Condo in Palm Desert,https://bradschmett.com/listing-detail/1182965063/45711-W-Verba-Santa-DR-Palm-Desert-CA,https://wsrv.nl/?url=https%3A%2F%2Fcdn.photos.sparkplatform.com%2Fgps%2F20260527064119352254000000-o.jpg&w=1200&output=jpg&q=80,"$449,000",Palm Desert,Condo,For Sale,"45711 W Verba Santa DR, Palm Desert, CA 92260, CA",Prime South Palm Desert l,Nueve Grande; 1179 sqft
1182961385,Vacant Land,https://bradschmett.com/listing-detail/1182961385/0-Inyo-Drive-DR-Desert-Hot-Springs-CA,https://wsrv.nl/?url=https%3A%2F%2Fcdn.photos.sparkplatform.com%2Fgps%2F20260527193306804526000000-o.jpg&w=1200&output=jpg&q=80,"$22,500",Desert Hot Springs,Vacant Land,For Sale,"0 Inyo Drive DR, Desert Hot Springs, CA 92240, CA",Set against the backdrop ,
